lattice diameter Temperature    PS
100.00    19.87   546.15   200.00
t(s)      gC/gcat/min     nm/s       CXFNum     coverage
1175.90159     0.00021     0.00284     0.00000     0.00000
1179.09792     0.00021     0.00284     0.00000     0.00000
1182.80645     0.00021     0.00284     0.00000     0.00000
1186.72641     0.00021     0.00284     0.00000     0.00000
1191.12237     0.00021     0.00284     0.00000     0.00000
1194.81943     0.00021     0.00284     0.00000     0.00000
1199.34239     0.00021     0.00284     0.00000     0.00000
1203.69052     0.00021     0.00284     0.00000     0.00000
1207.00788     0.00021     0.00284     0.00000     0.00000
1211.65496     0.00021     0.00284     0.00000     0.00000
1215.23336     0.00021     0.00284     0.00000     0.00000
1218.43493     0.00021     0.00284     0.00000     0.00000
1222.07585     0.00021     0.00284     0.00000     0.00000
1225.67645     0.00021     0.00284     0.00000     0.00000
1230.27171     0.00021     0.00284     0.00000     0.00000
1233.58176     0.00021     0.00284     0.00000     0.00000
1238.55278     0.00021     0.00284     0.00000     0.00000
1241.84995     0.00021     0.00284     0.00000     0.00000
1244.86731     0.00021     0.00284     0.00000     0.00000
1248.24536     0.00021     0.00284     0.00000     0.00000
1252.39757     0.00021     0.00284     0.00000     0.00000
1256.30692     0.00021     0.00284     0.00000     0.00000
1260.69450     0.00021     0.00284     0.00000     0.00000
1265.13013     0.00021     0.00284     0.00000     0.00000
1269.03274     0.00021     0.00284     0.00000     0.00000
1273.41640     0.00021     0.00284     0.00000     0.00000
1277.10445     0.00021     0.00284     0.00000     0.00000
1281.12694     0.00021     0.00284     0.00000     0.00000
1284.07578     0.00021     0.00284     0.00000     0.00000
1287.47577     0.00021     0.00284     0.00000     0.00000
1291.03423     0.00021     0.00284     0.00000     0.00000
1293.94089     0.00021     0.00284     0.00000     0.00000
1297.81492     0.00021     0.00284     0.00000     0.00000
1302.22909     0.00021     0.00284     0.00000     0.00000
1306.83211     0.00021     0.00284     0.00000     0.00000
1310.51117     0.00021     0.00284     0.00000     0.00000
1314.33754     0.00021     0.00284     0.00000     0.00000
1318.46751     0.00021     0.00284     0.00000     0.00000
1322.11836     0.00021     0.00284     0.00000     0.00000
1325.99860     0.00021     0.00284     0.00000     0.00000
1329.65244     0.00021     0.00284     0.00000     0.00000
1333.72900     0.00021     0.00284     0.00000     0.00000
1336.19109     0.00021     0.00284     0.00000     0.00000
1339.56592     0.00021     0.00285     0.00000     0.00000
1343.32716     0.00021     0.00285     0.00000     0.00000
1346.85169     0.00021     0.00285     0.00000     0.00000
1350.52252     0.00021     0.00285     0.00000     0.00000
1353.66356     0.00021     0.00285     0.00000     0.00000
1356.99031     0.00021     0.00285     0.00000     0.00000
1360.31816     0.00021     0.00285     0.00000     0.00000
1364.91942     0.00021     0.00285     0.00000     0.00000
1369.76907     0.00021     0.00285     0.00000     0.00000
1372.97409     0.00021     0.00285     0.00000     0.00000
1376.92932     0.00021     0.00285     0.00000     0.00000
1380.62340     0.00021     0.00285     0.00000     0.00000
1384.73353     0.00021     0.00285     0.00000     0.00000
1388.87381     0.00021     0.00285     0.00000     0.00000
1392.53878     0.00021     0.00285     0.00000     0.00000
1396.67670     0.00021     0.00285     0.00000     0.00000
1400.32323     0.00021     0.00285     0.00000     0.00000
1404.13322     0.00021     0.00285     0.00000     0.00000
1408.44187     0.00021     0.00285     0.00000     0.00000
1412.37504     0.00021     0.00285     0.00000     0.00000
1417.23949     0.00021     0.00284     0.00000     0.00000
1420.77574     0.00021     0.00285     0.00000     0.00000
1425.22814     0.00021     0.00284     0.00000     0.00000
1428.81284     0.00021     0.00284     0.00000     0.00000
1432.78527     0.00021     0.00284     0.00000     0.00000
1436.86171     0.00021     0.00284     0.00000     0.00000
1441.13541     0.00021     0.00284     0.00000     0.00000
1445.45747     0.00021     0.00284     0.00000     0.00000
1449.88850     0.00021     0.00284     0.00000     0.00000
1454.20234     0.00021     0.00284     0.00000     0.00000
1457.81955     0.00021     0.00284     0.00000     0.00000
1461.33357     0.00021     0.00284     0.00000     0.00000
1466.15857     0.00021     0.00284     0.00000     0.00000
1470.14395     0.00021     0.00284     0.00000     0.00000
1473.77208     0.00021     0.00284     0.00000     0.00000
1477.13696     0.00021     0.00284     0.00000     0.00000
1481.09884     0.00021     0.00284     0.00000     0.00000
1484.68102     0.00021     0.00284     0.00000     0.00000
1488.69942     0.00021     0.00284     0.00000     0.00000
1493.28303     0.00021     0.00284     0.00000     0.00000
1497.16745     0.00021     0.00284     0.00000     0.00000
1501.99482     0.00021     0.00284     0.00000     0.00000
1505.39770     0.00021     0.00284     0.00000     0.00000
1509.57611     0.00021     0.00284     0.00000     0.00000
1513.21062     0.00021     0.00284     0.00000     0.00000
1516.95575     0.00021     0.00284     0.00000     0.00000
1521.00310     0.00021     0.00284     0.00000     0.00000
1524.56480     0.00021     0.00284     0.00000     0.00000
